artista	danceability	duration	enery	key	liveness	loudness	mode	speechiness	tempo	time_signature	genre
d	c	c	c	d	c	c	d	c	c	d	d	d
											class
Nuclear Assault	0.360434	217.73333	0.972196	1	0.050147	-6.836	1	0.177188	111.883	4	metal	
3 Inches of Blood	0.351376	271.12	0.959971	9	0.106879	-3.077	0	0.075766	96.122	4	metal	
Edguy	0.269453	64.86667	0.300253	11	0.584552	-13.896	0	0.031	105.372	4	metal	
Fight	0.520208	263.6	0.823859	9	0.162088	-7.732	1	0.038024	146.097	4	metal	
Nevermore	0.452497	333.90667	0.947246	1	0.087731	-7.049	1	0.097134	119.137	4	metal	
The Haunted	0.390077	238.81333	0.967108	9	0.608362	-3.619	1	0.062475	177.041	4	metal	
Manilla Road	0.427384	190.49333	0.806509	8	0.401836	-8.595	0	0.074517	111.361	4	metal	
Mercyful Fate	0.284395	310.42667	0.980191	4	0.359558	-3.642	0	0.088933	138.506	4	metal	
Megadeth	0.191154	299.11093	0.989241	10	0.097408	-2.904	0	0.566357	175.017	4	metal	
Testament	0.300212	449.46667	0.717486	10	0.111542	-8.094	1	0.043035	124.492	4	metal	
Accept	0.509396	341.88	0.756232	9	0.187353	-5.809	1	0.045486	118.261	4	metal	
Manowar	0.563862	234.6	0.919861	4	0.101515	-6.384	0	0.064051	164.309	3	metal	
U.D.O.	0.637809	289.09333	0.883718	2	0.115888	-5.183	0	0.067958	129.995	4	metal	
Diamond Head	0.21072	458.68698	0.942504	4	0.174581	-6.108	1	0.372401	193.498	4	metal	
Celtic Frost	0.273448	315.8	0.930934	9	0.291982	-7.915	1	0.059589	114.356	4	metal	
Annihilator	0.131019	290.89333	0.989811	5	0.246525	-7.719	0	0.087106	190.128	4	metal	
Nevermore	0.191467	359.53333	0.954802	6	0.670495	-6.879	1	0.10168	153.937	4	metal	
Leatherwolf	0.381481	331.29333	0.961318	4	0.581903	-3.65	0	0.070523	107.033	4	metal	
Nevermore	0.354991	311.93333	0.92514	1	0.227014	-4.909	0	0.037076	151.819	4	metal	
Candlemass	0.232773	349.90667	0.795263	8	0.089231	-5.65	1	0.036835	84.107	4	metal	
Trivium	0.517393	321.16154	0.886741	10	0.151078	-7.637	0	0.073193	166.008	4	metal	
Sodom	0.221294	364.22667	0.943667	4	0.347602	-11.82	0	0.063934	112.913	4	metal	
SuidAkrA	0.456231	231.12	0.922677	8	0.2626	-1.839	1	0.056781	120.063	4	metal	
King Diamond	0.4064	228.14667	0.796069	7	0.1266	-5.262	1	0.033577	89.977	4	metal	
Megadeth	0.337636	213.47628	0.781419	2	0.112798	-6.026	0	0.053936	132.826	4	metal	
Nevermore	0.191467	359.53333	0.954802	6	0.670495	-6.879	1	0.10168	153.937	4	metal	
Iron Maiden	0.301021	436.96	0.812556	2	0.197329	-8.786	0	0.056779	109.25	4	metal	
Running Wild	0.351251	208.16	0.896203	11	0.33804	-12.09	0	0.039066	98.457	4	metal	
Ozzy Osbourne	0.243988	252.06667	0.703871	8	0.083866	-5.225	1	0.034055	141.258	4	metal	
Candlemass	0.393177	305.96	0.970747	8	0.242802	-4.434	1	0.058324	131.833	4	metal	
Ted Nugent	0.659045	239.86667	0.89034	9	0.150217	-10.968	1	0.08255	130.151	4	metal	
Helloween	0.420224	208.32	0.970481	7	0.35784	-6.437	1	0.067425	101.413	4	metal	
King Diamond	0.402902	259.66667	0.973996	4	0.261542	-6.244	0	0.11322	133.411	4	metal	
Iced Earth	0.403315	262.13333	0.997242	4	0.086088	-6.989	1	0.201816	196.156	4	metal	
Doro	0.40475	219.88	0.501002	11	0.073314	-6.347	0	0.029003	144.669	3	metal	
Six Feet Under	0.379568	179.2	0.900356	2	0.139806	-7.548	1	0.065252	111.868	4	metal	
Nevermore	0.467047	169.33333	0.324251	8	0.380385	-12.597	1	0.026531	82.145	4	metal	
UFO	0.359364	436.78667	0.652426	4	0.122785	-8.206	0	0.031752	129.864	3	metal	
Danzig	0.267384	357.99973	0.272862	11	0.084166	-11.952	1	0.035998	59.854	4	metal	
Dimmu Borgir	0.15754	215.8498	0.902238	3	0.201184	-5.909	0	0.086801	100.742	3	metal	
Enslaved	0.35953	529.54667	0.978337	1	0.120388	-5.43	1	0.064429	150.013	4	metal	
Amon Amarth	0.322109	262.24	0.9253	7	0.043646	-5.067	1	0.054063	189.071	4	metal	
Rage	0.427696	345.33333	0.729701	7	0.307032	-5.828	0	0.039275	76.987	4	metal	
MD.45	0.357008	170.26667	0.962993	10	0.46901	-5.792	0	0.071667	141.841	4	metal	
Destruction	0.306036	71.06667	0.177372	9	0.419486	-19.808	0	0.028309	83.688	4	metal	
Nevermore	0.191467	359.53333	0.954802	6	0.670495	-6.879	1	0.10168	153.937	4	metal	
Dio	0.472645	271.82667	0.905045	0	0.166559	-9.15	0	0.053059	118.426	4	metal	
Morbid Angel	0.437763	137.56	0.164621	0	0.099061	-14.471	1	0.031154	97.135	4	metal	
3 Inches of Blood	0.339279	288.94667	0.982185	6	0.098806	-3.762	0	0.140841	94.603	4	metal	
Helloween	0.405833	344.90667	0.972394	1	0.118532	-5.931	1	0.092501	106.136	4	metal	
Running Wild	0.292892	329.2	0.91414	7	0.076405	-9.01	1	0.049668	94.967	4	metal	
Running Wild	0.351797	673.52	0.976548	11	0.931189	-4.621	0	0.167773	136.933	4	metal	
Metallica	0.53371	515.24	0.748946	4	0.098348	-12.691	0	0.034649	105.293	4	metal	
Razor	0.239752	164.59143	0.997845	6	0.354696	-3.801	0	0.253415	126.147	4	metal	
Omen	0.477178	243.49333	0.841813	4	0.398561	-10.244	0	0.048159	108.741	4	metal	
Symphorce	0.522484	322.42667	0.969641	6	0.26665	-5.408	1	0.08915	130.01	4	metal	
Gamma Ray	0.494407	304.32	0.988568	10	0.293764	-3.488	0	0.064926	137.068	4	metal	
Mercyful Fate	0.25395	270.53333	0.944774	2	0.257353	-5.516	1	0.135069	95.282	4	metal	
Overkill	0.301714	275.38667	0.805124	6	0.150709	-11.395	0	0.096659	112.766	4	metal	
Entombed	0.331078	265.49333	0.970853	1	0.132463	-4.928	1	0.082506	134.415	1	metal	
Anvil	0.409079	200.32	0.912689	2	0.187175	-6.863	1	0.149919	124.501	4	metal	
Iron Maiden	0.288059	250.68	0.856508	4	0.71255	-6.77	0	0.06412	161.918	4	metal	
Dio	0.280376	347.26667	0.915194	9	0.041656	-5.355	0	0.103832	172.652	4	metal	
Glenn Tipton	0.482323	317.37333	0.987925	7	0.108892	-4.822	1	0.097501	121.09	4	metal	
Anvil	0.403158	246.32	0.8787	0	0.319488	-9.234	0	0.04875	120.039	4	metal	
Annihilator	0.475554	276.48	0.902079	10	0.366279	-7.048	0	0.100851	175.997	4	metal	
Meliah Rage	0.55722	246.86621	0.958593	4	0.185256	-6.533	0	0.052441	129.993	4	metal	
Accept	0.509396	341.88	0.756232	9	0.187353	-5.809	1	0.045486	118.261	4	metal	
Finntroll	0.429983	208.68	0.933598	0	0.354501	-6.107	1	0.086161	94.99	4	metal	
Celtic Frost	0.188658	339.01134	0.321836	3	0.064837	-5.552	0	0.038375	120.316	5	metal	
Lordi	0.39343	211.44	0.734064	0	0.098117	-6.94	1	0.029052	147.92	4	metal	
Slayer	0.281682	252.87973	0.996307	1	0.086637	-2.827	0	0.20309	87.784	4	metal	
Mercyful Fate	0.397729	290.16	0.548161	11	0.165023	-10.33	1	0.04267	125.812	4	metal	
Accept	0.499945	347.45333	0.878264	1	0.050268	-4.815	0	0.0336	105.989	4	metal	
Venom	0.307518	228.2	0.820611	1	0.375729	-11.326	1	0.041084	68.605	4	metal	
3 Inches of Blood	0.339279	288.94667	0.982185	6	0.098806	-3.762	0	0.140841	94.603	4	metal	
Halford	0.510368	192.6	0.941106	7	0.06848	-3.06	1	0.076258	101.022	4	metal	
Black Sabbath	0.325108	315.93333	0.70838	6	0.096058	-12.07	1	0.058831	150.81	4	metal	
Testament	0.300212	449.46667	0.717486	10	0.111542	-8.094	1	0.043035	124.492	4	metal	
Morgana Lefay	0.427035	337.06667	0.917271	7	0.595453	-6.778	1	0.035096	169.892	4	metal	
Anthrax	0.36646	298.0	0.989202	11	0.272285	-5.557	0	0.141973	106.57	4	metal	
Doctor Butcher	0.455929	319.89551	0.898224	9	0.419485	-11.51	1	0.111853	114.427	4	metal	
Hirax	0.329466	410.54667	0.837899	9	0.822832	-6.203	1	0.133433	101.05	4	metal	
Toxik	0.249389	231.57333	0.992301	6	0.263018	-5.749	0	0.220893	96.225	4	metal	
Black Label Society	0.612051	272.23075	0.790244	7	0.116102	-4.703	1	0.035433	157.203	4	metal	
Judas Priest	0.331673	432.77333	0.910008	9	0.950891	-5.37	1	0.099187	87.416	4	metal	
Anvil	0.405385	192.6	0.923924	5	0.16096	-4.198	1	0.054948	121.292	4	metal	
Angel Witch	0.187624	359.62667	0.947876	8	0.221419	-3.752	0	0.110539	77.802	4	metal	
Rainbow	0.592579	278.0	0.728354	0	0.055388	-10.051	1	0.031086	107.48	4	metal	
Pantera	0.445094	314.86259	0.704966	6	0.123604	-7.91	0	0.089177	114.816	4	metal	
Motrhead	0.326954	167.13333	0.988878	3	0.065425	-5.126	0	0.20481	140.543	4	metal	
Metal Church	0.427444	301.6	0.893472	10	0.252756	-11.095	0	0.062562	102.331	4	metal	
Rotting Christ	0.480829	256.05333	0.96793	6	0.135045	-6.203	1	0.062942	147.009	3	metal	
Halford	0.281367	263.36	0.87865	2	0.357887	-5.254	1	0.045301	102.044	3	metal	
Sodom	0.44301	190.50667	0.709672	11	0.455254	-13.484	0	0.046097	84.077	4	metal	
DragonForce	0.472653	195.45302	0.97149	5	0.277554	-4.088	0	0.151681	109.971	4	metal	
Bathory	0.23164	516.26667	0.846941	0	0.084517	-12.93	1	0.068277	122.643	4	metal	
Helloween	0.474698	249.0	0.905752	4	0.099885	-4.995	0	0.037499	79.089	4	metal	
Manowar	0.523839	329.93333	0.919391	0	0.338016	-5.14	1	0.080946	113.989	4	metal	
