artista	danceability	duration	enery	key	liveness	loudness	mode	speechiness	tempo	time_signature	genre
s	c	c	c	d	c	c	d	c	c	d	s
											class
Underworld	0.680796	453.98621	0.818096	9	0.063026	-9.814	1	0.044764	120.033	4	electronic	
Paul Hartnoll	0.60536	297.10667	0.54302	2	0.211401	-8.437	0	0.02877	115.009	3	electronic	
Mercyful Fate	0.461634	208.06667	0.935514	6	0.502193	-6.357	0	0.041262	133.982	4	metal	
Rob Dougan	0.300395	229.18667	0.230641	9	0.132171	-13.007	1	0.029605	93.96	4	electronic	
Miles Davis	0.446869	335.64	0.135272	2	0.107606	-12.09	0	0.033842	114.749	4	jazz	
John Scofield	0.625888	327.86667	0.570396	11	0.101827	-11.829	1	0.079706	102.518	4	jazz	
Leatherwolf	0.505165	244.26349	0.982484	1	0.985653	-3.071	1	0.078901	99.046	4	metal	
Megadeth	0.32486	392.6	0.985352	11	0.351254	-3.941	1	0.150789	125.307	4	metal	
Run-D.M.C.	0.852058	250.62667	0.873902	7	0.132622	-11.208	1	0.042706	129.029	4	rap	
Chick Corea	0.403207	419.68	0.278415	4	0.10264	-14.482	0	0.044482	87.111	4	jazz	
Prince Paul	0.685593	210.86667	0.367489	10	0.302204	-17.947	0	0.236308	80.058	4	rap	
N.W.A	0.895367	336.64	0.847515	6	0.334986	-2.611	0	0.266762	98.097	4	rap	
Ice-T	0.939592	335.13333	0.607417	6	0.256901	-9.342	0	0.10572	108.119	4	rap	
Groove Armada	0.697789	393.36	0.503897	8	0.190983	-8.496	1	0.027585	136.016	4	electronic	
King Diamond	0.516099	280.62667	0.944277	7	0.342251	-6.061	1	0.041574	136.75	4	metal	
Basement Jaxx	0.75314	263.05333	0.788954	8	0.32458	-7.469	0	0.027401	126.008	4	electronic	
Charles Lloyd	0.450102	268.21333	0.534464	5	0.120339	-11.69	1	0.062541	135.631	4	jazz	
Slayer	0.314869	285.35973	0.98535	5	0.101575	-3.319	0	0.238459	138.84	4	metal	
The Notorious B.I.G.	0.846831	320.6	0.624966	7	0.63245	-7.198	1	0.143131	91.68	4	rap	
Dizzy Gillespie Jam	0.570936	860.46667	0.352356	5	0.879807	-18.866	1	0.07159	78.783	4	jazz	
Sticky Fingaz	0.577401	258.58667	0.651504	4	0.526019	-5.622	0	0.394771	81.009	1	rap	
Nas	0.783142	268.66667	0.608277	0	0.102011	-5.742	0	0.361355	91.672	4	rap	
Boogie Down Productions	0.792709	396.65333	0.487444	9	0.111241	-10.994	1	0.416732	189.995	4	rap	
Grandmaster Flash	0.936328	310.66667	0.657512	10	0.081532	-13.314	0	0.217631	104.253	4	rap	
Sentenced	0.490744	355.86667	0.870524	0	0.07305	-4.553	0	0.047906	129.878	4	metal	
Annihilator	0.542359	315.54667	0.97635	7	0.357811	-6.037	1	0.090252	135.019	4	metal	
Death in Vegas	0.453973	177.84	0.842894	9	0.332589	-4.078	1	0.037104	133.264	4	electronic	
McCoy Tyner	0.399825	411.46667	0.819908	0	0.383811	-10.532	0	0.035259	111.105	4	jazz	
Art Farmer	0.538244	256.66667	0.342588	0	0.103876	-13.157	1	0.04369	125.343	4	jazz	
Hank Mobley	0.528973	533.21333	0.417972	10	0.222968	-11.66	1	0.052745	148.986	4	jazz	
Iced Earth	0.54081	755.53333	0.825433	8	0.081981	-10.273	0	0.062959	127.949	4	metal	
